"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","COMMENT","FULLNAME","GROUP","MANUFACTURER","NAMECOMP","NOISE","PART NUMBER","POWER","PRECISION","PRICE","TKE","TKS","TU","TU_COM","TYPE","TYPECOMP","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"1019ЧТ1С","","","","","","","","","","1019ЧТ1С","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"1019ЧТ3С","","","","","","","","","","1019ЧТ3С","","Микросхемы","ЗАО "ОКБ МЭЛ"","","","","","","","","","АЕЯР.431320.507 ТУ","","1019ЧТ3С","","","","*","DA?",""
"10227EA","","","","","","","","","","10227EA","","Модули питания","","","","","","","","","","TU","","Type","","","","*","G?",""
"10227EC","","","","","","","","","","10227EC","","Модули питания","","","","","","","","","","TU","","Type","","","","*","G?",""
"1303ЕН","","","","","","","","","","Линейный стабилизатор напряжения","1303ЕНхх АЕЯР.431420.638 ТУ","Микросхемы","ЭлТом","","","","","","","","","АЕЯР.431420.638 ТУ","","1303ЕНхх","","","","*","DA?",""
"1309ЕН","","","","","","","","","","1309ЕН","","Group","","","","","","","","","","TU","","Type","","","","*","U?",""
"140УД20А","201.14-10","","","","","","","","","140УД20А","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"1526КП1ЭП","402.16-23.01","","","","","","","","","Двойной 4 канальный мультиплексор","","Микросхемы","","","","","","","500","","","АЕЯР.431200.126-03ТУ","","1526КП1ЭП","","","","*","DD?",""
"1533ТЛ2","","","","","","","","","","1533ТЛ2","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1554АП6","4153.20-6","","","","","","","","","1554АП6","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1554КП16","","","","","","","","","","1554КП16","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1554ЛА3","","","","","","","","","","1554ЛА3","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1554ЛИ9","","","","","","","","","","1554ЛИ9","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1554ТЛ2","DIP14-RUS","","","","","","","","","1554ТЛ2","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1564ТЛ2Т ЭП","401.14-5","","","","","","","","","6 инвертирующих триггеров Шмидта","","Микросхемы","","","","","","","500","","","АЕНВ.431160.077 ТУ","","1564ТЛ2Т ЭП","","","","*","DD?",""
"1986BE92","","","","","","","","","","1986BE92","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"1986ВЕ4У","","","","","","","","","","1986ВЕ4У","","Микросхемы",""Миландр"","","","","","","5000","","","АЕЯР.431280.912ТУ","","1986ВЕ4У","","","","*","DD?","Микроконтроллер ARM CortexM3"
"1986ВЕ91Т","4229.132-3","","","","","","","","","1986ВЕ91Т","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"2011ВВ024","","","","","","","","","","2011ВВ024","","Микросхемы","","","","","","","1000","","","","","2011ВВ024","","","","*","DD?","Гальванически изолированный приемопередатчик RS485"
"249KP5R","2101.8-7","","","","","","","","","249KP5R","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"249КП1","","","","","","","","","","249КП1","249КП1А 1Х3.438.000ТУ","Микросхемы","","","","","","","","","","1Х3.438.000ТУ","","249КП1А","","","","*","DA?",""
"249КП19Т","","","","","","","","","","Четырехканальное твердотельное реле 30В, 200мА","","Микросхемы","Протон","","","","","","1000","","","АЕНВ.431160.077 ТУ","","249КП19Т","","","","*","DA?",""
"249КП23Т","","","","","","","","","","Твердотельное реле 90В, 10А","","Микросхемы","ОАО "Протон"","","","","","","5000","","","АЕНВ.431160.047 ТУ","","249КП23Т","","","","*","DA?",""
"249КП5Р","2101.8-7","","","","","","","","","249КП5Р","249КП5Р АЕЯР.431160.499 ТУ","Микросхемы","Протон","","","","","","","","","АЕЯР.431160.499 ТУ","","249КП5Р","","","","*","DA?","Твердотельное реле 60В 1А"
"249КП8У","5140.8-АН3","","","","","","","","","249КП8У","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"249ЛП8Т","402.16-23.01","","","","","","","","","249ЛП8Т","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"2C191","","","","","","","","","","2C191","","Диоды","","","","","","","","","","TU","","Type","","","","*","VD?",""
"2D510","","","","","","","","","","2D510","","Диоды","","","","","","","","","","TU","","Type","","","","*","VD?",""
"2T215А9","2Т215А9","","","","","","","","","2T215А9","","Транзисторы","","","","","","","10","","","аА0.339.518 ТУ","","2Т215А9","","","","*","VT?","Транзистор npn"
"2T215Б9","2Т215А9","","","","","","","","","2T215Б9","","Транзисторы","","","","","","","10","","","аА0.339.518 ТУ","","2Т215Б9","","","","*","VT?","Транзистор npn"
"2T3117","2Т3117А","","","","","","","","","2T3117","","Транзисторы","","","","","","","","","","TU","","Type","","","","*","VT?",""
"2T313","","","","","","","","","","2T313","","Транзисторы","","","","","","","","","","TU","","Type","","","","*","VT?",""
"2Д2995B АЕЯР.432121.029ТУ","","","","","","","","","","2Д2995B АЕЯР.432121.029ТУ","","Диоды","","","","","","","","","","TU","","Type","","","","*","VD?",""
"2П7149А","TO220","","","","","","","","","2П7149А","","Транзисторы","","","","","","","","","","TU","","Type","","","","*","VT?",""
"2П7165А","TO220","","","","","","","","","2П7165А","","Транзисторы","","","","","","","","","","TU","","Type","","","","*","VT?",""
"3Л341Б","","","","","","","","","","3Л341Б","","Индикаторы единичные","","","","","","","","","","TU","","Type","","","","*","HL?",""
"5559ИН10АУ","","","","","","","","","","*","","Микросхемы",""Миландр"","","","","","","","","","АЕЯР.431230.645 ТУ","","5559ИН10АУ","","","","*","DD?",""
"5559ИН28У","","","","","","","","","","Приемопередатчик RS-485","","Микросхемы",""Миландр"","","","","","","","","","АЕЯР.431230.882ТУ","","5559ИН28У","","","","*","DD?",""
"5559ИН4","","","","","","","","","","5559ИН4","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"5559ИН4У","","","","","","","","","","5559ИН4У","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"555ЛИ1","2102.14-2","","","","","","","","","555ЛИ1","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"564КП1","402.16-23.01","","","","","","","","","564КП1","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"74AC14M","DIP14-RUS","","","","","","","","","","74AC14M","Микросхемы","STMicroelectronics","","","74AC14M","","","","","","TU","","74AC14M","","","","*","DD?","6 триггеров Шмидта SOP14"
"78L05","78LXX","","","","","","","","","78L05","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"79L05","79LXX","","","","","","","","","79L05","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DA?",""
"ACS712","","","","","","","","","","ACS712","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
